state,jurisdictions,avg_search_cost,median_search_cost,avg_court_fee,avg_access_fee
ALABAMA,68,0.04,0.0,1.65,1.65
ALASKA,30,1.49,1.45,0.0,0.0
ARIZONA,17,0.76,0.0,0.0,0.0
ARKANSAS,151,1.95,3.65,1.25,0.0
CALIFORNIA,59,2.13,1.45,1.95,0.08
COLORADO,69,0.15,0.0,2.59,0.0
CONNECTICUT,9,0.28,0.0,0.0,0.0
DELAWARE,4,6.09,4.5,0.0,0.0
DISTRICT OF COLUMBIA,1,0.0,0.0,0.0,0.0
FLORIDA,68,1.57,1.45,0.37,0.37
GEORGIA,166,2.41,3.95,0.01,0.0
HAWAII,6,0.42,0.0,3.5,3.5
IDAHO,45,0.08,0.0,2.0,2.0
ILLINOIS,103,1.51,1.45,0.1,0.0
INDIANA,94,1.48,1.45,0.17,0.0
IOWA,100,0.03,0.0,0.0,0.0
KANSAS,108,0.07,0.0,0.28,0.0
KENTUCKY,122,5.23,5.25,0.23,0.0
LOUISIANA,65,2.19,3.8,0.38,0.0
MAINE,17,2.31,2.3,31.0,0.0
MARYLAND,25,0.1,0.0,0.0,0.0
MASSACHUSETTS,29,4.96,4.9,0.0,0.0
MICHIGAN,85,2.28,0.0,7.05,0.0
MINNESOTA,88,2.75,2.75,0.0,0.0
MISSISSIPPI,83,6.07,6.1,1.35,0.0
MISSOURI,117,0.06,0.0,0.63,0.5
MONTANA,57,1.73,0.0,28.19,0.0
NEBRASKA,94,0.03,0.0,0.5,0.5
NEVADA,36,4.64,5.0,0.0,0.0
NEW HAMPSHIRE,21,4.9,4.9,10.21,0.0
NEW JERSEY,44,0.06,0.0,5.0,5.0
NEW MEXICO,35,0.07,0.0,0.0,0.0
NEW YORK,63,5.5,5.55,25.27,0.0
NORTH CAROLINA,101,0.04,0.0,1.61,0.79
NORTH DAKOTA,54,0.05,0.0,0.0,0.0
OHIO,111,2.45,1.45,0.0,0.0
OKLAHOMA,78,0.03,0.0,0.0,0.0
OREGON,37,0.07,0.0,0.0,0.0
PENNSYLVANIA,69,0.06,0.0,0.32,0.0
RHODE ISLAND,6,0.42,0.0,0.0,0.0
SOUTH CAROLINA,47,0.12,0.0,0.55,0.0
SOUTH DAKOTA,67,0.04,0.0,20.0,20.0
TENNESSEE,97,3.36,1.7,0.64,0.0
TEXAS,256,2.85,3.4,0.07,0.01
UTAH,30,0.08,0.0,0.35,0.35
United States,1,0.0,0.0,0.0,0.0
VERMONT,15,6.78,7.0,2.0,0.0
VIRGINIA,137,0.04,0.0,0.11,0.0
WASHINGTON,40,0.06,0.0,5.0,5.0
WEST VIRGINIA,57,0.09,0.0,0.0,0.0
WISCONSIN,75,0.1,0.0,0.29,0.0
WYOMING,24,7.6,7.6,19.17,0.0
